location,item_id,actual_qty,revenue,sale_status
S001,P001,120,2400000,1
S001,P002,80,1600000,1
S001,P003,0,0,0
S001,P004,50,1000000,1
S001,P005,200,4000000,1
S002,P001,90,1800000,1
S002,P002,110,2200000,1
S002,P003,60,1200000,1
S002,P004,0,0,0
S002,P005,150,3000000,1
S003,P001,75,1500000,1
S003,P002,0,0,0
S003,P003,95,1900000,1
S003,P004,40,800000,1
S003,P005,180,3600000,1
S004,P001,0,0,0
S004,P002,130,2600000,1
S004,P003,70,1400000,1
S004,P004,85,1700000,1
S004,P005,0,0,0
S004,P006,55,1100000,1
S004,P007,210,4200000,1
S004,P008,0,0,0
S004,P009,100,2000000,1
S004,P010,45,900000,1
S005,P001,160,3200000,1
S005,P002,0,0,0
S005,P003,110,2200000,1
S005,P004,0,0,0
S005,P005,90,1800000,1
S005,P006,0,0,0
S005,P007,75,1500000,1
S005,P008,200,4000000,1
S005,P009,0,0,0
S005,P010,135,2700000,1
